text,label
"As a default role, I want the system to reveal the status of each panel ie : if it is running online or if for any reason it is down or unreadable, so that default end.",0
"As a student I'd like to see my UCB bills & awards in the context of my personal budget.",1
"As a research information manager, I want to integrated the archive with CRIS so that I can analyse impact of research data publication and I can link funding to all of the outputs it produces, so that default end.",0
"As a User, I want to be notified whenever new or updated data, web services, or web/mobile/desktop applications are released.",1
"As a developer, I want to check on all released flash versions supported by browsers so that to adjust my flash presentation towards new flash versions in particular, so that default end.",0
"As an engineer, I want to create tag in BR PlantHistorian, so that more integration with other apps.",0
"As a student I don't want to have to filter through ads to get to important content.",1
"As a User I can request a password reset so that I am still able to login whenever I forgot my password.",1
"As a user, I want to see the provenance of the page, so that default end.",0
"As a student, I want to be able to filter notifications, e.g. filter out or flag items (e.g. university-wide items from instructor items), so that I can easily see the most relevant, important items.",1
"As a site member, I want to describe myself on my own page in a semi structured way, so that default end.",0
"As a DPU, I want to check out or check in groups of components, so that default end.",0
"User browses action items by responsibility and completed or not. (Possibly other filters -- check).",1
"As a depositor, I want to deposit and maintain datasets through a simple web interface, so that I do n’t need to install and learn new software to deposit.",0
"As a depositor, I want to Mint DOIs for my data so that It can be discovered and cited more easily.",1
"As a student, I want to be able to easily find campus resources even if they aren't in a clear category (e.g. My Campus potentially overlapping catgories), so that during discovery I don't miss anything.",1
"As a student, I want to find important emails evenwhen I am offline, so that default end.",0
"As a user I should be able enter metadata / describe an experiment protocol before a file is even created.",1
"As a trainer who has finished teaching a certification class, I want to load an excel file into the site, so that default end.",0
"As a provider of DRS imaging services, I need access to terms of use statements for objects. For example, aA limited menu of HL use-permissions statements could be formulated, stashed in DRS, and associated with individual resources, or whole classes of resources. When we allow our digital resources to be used outside of our library systems (e. g. within DPLA, or other applications like the Library Lab funded Zeega project), the object can travel with the requisite use-permissions. ",1
"As a site visitor, I want to see a list of all upcoming certification courses, so that default end.",0
"As a user, I want access to ESRI playerfile used to render GIS data layers, so that default end.",0
"As a trainer, I want to delete one of my courses or events, so that default end.",0
"As a humanities faculty member, I want the DRS to support image content delivery via the international image interoperability framework API, so that web applications from stanford, yale, and johns hopkins can compare harvard digitized manuscripts with versions from their institutions and I can use those comparisons for research and teaching.",0
"As a developer, I want to define presentation variants in my presentation configuration XML file so that I can easily and efficiently deploy my presentation throughout DTAP, so that default end.",0
"As a researcher, I want to be able to store all the inputs for an experiment (data files, notes and custom scripts) so that the provenance of the results can be verified.",1
"As an editor I want to access content items quickly from a content element so I do not have to look up these content types in the menu and therefore I can work more productive.",1
"As user BR-PlantHistorian I want to change color login screen To make it different from BR-PlantViewer.",1
"As a student I need to schedule meetings with other students so that we can work together.",1
"As a default role, I want the RO to return the complete feature with all attributes, so that default end.",0
"As a student I would like to be able to easily see how much my assignments count towards my grade, and would like to see my grades in the context of the syllabus.",1
"As a site visitor, I can post comments about articles so that others can read them.",1
"As a user I want to be able to make predicated links between files.",1
"As a Visitor I'm able to navigate back to the media categories.",1
"As a customer, I would like to deposit and retrieve ALTO OCR data.",1
"As an Administrator I'm able to delete content (which a user added) from a person's profile page.",1
"As a site editor, I can set start publishing dates (when teaser appears on front page), old article date (when it disappears from home page), and stop publishing dates (when it's removed from site, if ever) for articles.",1
"As a default role, I want the log entry summary, so that default end.",0
"As a site visitor, I can view lists on the site of all Certified ScrumMasters, Practitioners, Trainers, and Certified Product Owners. (The CSM list has over 5,000 names so a letter-based pagination approach is needed.).",1
"As a clerk I want to be able to revoke a license so that the owner may never use it again.",1
"As a corporate sponsor I want my logo to randomly appear on the home page. (That is, it rotates among other corporate sponsors.).",1
"As a default role, I want the system to display a list sorted by date of the last ten uploaded contents, so that default end.",0
"As a researcher, I want to be able to attach detailed meta data (e.g. the Minimal Information for a Neuroscience Investigation MINI schema) to the data and entries that I create.",1
"As someone about to become a trainer, I can pay an annual fee.",1
"As a clerk I want to be able to lookup the respondent if it's part of Accela so I can plug it back in the complaint.",1
"As a researcher, I want a time line display of multiple data files and their associated images, so that I can compare the data taken from experiments on particular dates.",1
"As user BR PLANTVIEWER, I want to rename predictive control chart to vector chart, so that nomenclature is more comprehensive.",0
"As a catalog, I want authority lists to be easily accessible and contextual relevant, so that it is easy to use the authority.",0
"Automatically fill in 'owner' fields when creating new projects, log entries, etc. , based on the currently-logged-in user.",1
"As a site visitor, I want to view lists on the site of all certified SCRUMMASTERS practitioners trainers and certified product owners, so that default end.",0
"As a site editor, I can set start publishing dates (when teaser appears on front page), old article date (when it disappears from home page), and stop publishing dates (when it's removed from site, if ever) for articles.",1
"As a Visitor I'm able to view the added stories (if any) on the profile page so that I can learn more about the person.",1
"As a researcher, I want to be able to form links between objects, for example File A is an analysis of File B, so that data can be searched by type and by association.",1
"Users shall be notified  by e-mail when a  reserved book becomes available. Only the user with the oldest reservation shall  be notified , save as stated in Req(12).",1
"As a site visitor, I want to know as soon as I visit what on earth scrum is and why it needs an alliance, so that default end.",0
"As a corporate sponsor, I want my logo to randomly appear on the home page, so that default end.",0
"As a user, I want the posted date included on the list of new or updated data web services or web or mobile or desktop applications, so that default end.",0
"Staff would like to send a notification via email when BPL is assigned the case.",1
"As an editor, I want to maintain FAQS in multiple languages easily and in an intuitive way so that I can work productively, so that default end.",0
"As a humanities faculty member, I want the DRS to support image content delivery via the International Image Interoperability Framework API so that web applications from Stanford, Yale, and Johns Hopkins can compare Harvard digitized manuscripts with versions from their institutions and I can use those comparisons for research and teaching.",1
"As a default role, I want to add an interface to the route optimized that allows a route to be scored, so that default end.",0
"As a student, I want help setting a budget, so that default end.",0
"As a student, I want to have things color coded so that to use color to see at a glance the different categories of things I have to do, so that default end.",0
"As a site member, I can do a full-text search of the FAQs. (Maybe we want this for any site visitor?).",1
"As a researcher, I want to be able to search for files by file type (for example electro physiology, image and video) and format (e.g. . eeg, DICOM, MPEG-2).",1
"As a member with short term memory problems, I want to have the system email me a new password or a password reminder possibly my username and so on, so that default end.",0
"As a user, I want to modify or branch an experimental protocol whilst retaining the original, so that default end.",0
"As a site editor, I want to set start publishing dates old article date and stop publishing dates for articles, so that default end.",0
"As a default role, I want the backend changes to support loading num value lists from the database, so that default end.",0
"As a researcher, I want to collect data as a library of data, which can then be used by one or multiple experiments that are defined at a later stage (perhaps years later).",1
"As a system administrator I can run a script that installs the Neurohub node onto a virgin Ubuntu operating system.",1
"As a student I like to have things color coded so I can use color to see at a glance the different categories of things I have to do.",1
"As a programmer building image display applications, I want to obtain admin metadata access rights for public or private DRS content, so that default end.",0
"As a site admin, I can edit and delete help wanted ads.",1
"As a clerk, I want to suspend a license, so that the license owner can not continue work.",0
"As an editor I want to maintain FAQs in multiple languages easily and in an intuitive way so that I can work productively.",1
"The system shall allow the upload of new content.   The contents may  be  images, videos and  Flash animations .   Uploaded  new  content must  be associated  with a title, description, some  tags, duration, date of activation and expiration date.",1
"As a Practitioner, I want my profile page to include additional details about me (i.e., some of the answers to my Practitioner application).",1
"As an archivist, I want to add administrative data about the archival description and finding aid related data to a top level resource, so that default end.",0
"As a developer, I want bulk access to metadata so that I can preprocess the data set, so that default end.",0
"As a user I can filter the files I get from search results based on their (MIME) type.",1
"As an system administrator, I want to declare that a user to be has the repository manager role for a given repository, so that default end.",0
"As a site admin who has received proof of payment from a trainer, I can move people in his or her class from a pending state to the registry.",1
"As a student, I want to have something that presents and helps me keep track of all the steps for tasks, so that default end.",0
"As a migration specialist, I want to store the AT or Archon source record ids in each ASpace record to support data migration integrity testing.",1
"The system shall display a list sorted  by date (ascending or  descending) of the last ten uploaded  contents. It  will  also  show the rest of the contents if they  exceed ten.",1
"As an application administrator, I want to configure the help center URL and topic mappings, so that default end.",0
"As a Practitioner, I want my profile page to include additional details about me (i.e., some of the answers to my Practitioner application).",1
"As a site visitor, I can view lists on the site of all Certified ScrumMasters, Practitioners, Trainers, and Certified Product Owners. (The CSM list has over 5,000 names so a letter-based pagination approach is needed.).",1
"As a student, I want to schedule events in an efficient manner, so that default end.",0
"As a researcher in southampton Neuroscience, I want to be able to point my Mendeley client at a group-wide shared repository of research papers and get notifications via Mendeley when new content is added.",1
"As a default role, I want easily record an email message in ATS, so that default end.",0
"The system shall turn the panels on and  off (one in particular, or all  at once)  through the web.",1
"As a researcher adding new data to the system, I want to select a partially pre populated template, so that default end.",0
"As a user, I want to be able to view and update an inventory of of the equipment and consumables that are present in the centre.",1
"As a user, I want access to historical snapshots of VT GIS data, so that default end.",0
"As a depositor, I want to Track downloads of my data so that I can demonstrate the impact of my work.",1
"As a student, I'd like to see events and tasks for a month at a time, so that I can plan ahead.",1
"As a User, I want to integrate aerial photos (eg: VT orthos) into my own web mashups.",1
"As a user, I want to filter the files I get from search results based on their type, so that default end.",0
"As a site visitor, I want to know as soon as I visit what on earth scrum is and why it needs an alliance, so that default end.",0
"As a depositor, I want to Manage and share “live” research data so that Whole project workflow is linked together.",1
"As a user, I want to see the direction of the plane's journey, so that default end.",0
"As a student, I want to be planning my schedule all semester, so that default end.",0
"As a site visitor, I need to know as soon as I visit what on earth Scrum is, and why it needs an alliance.",1
"As a user, I want to know the terminal or gate, so that default end.",0
"As a user, I want to make predicated links between files, so that default end.",0
"As a student, I want to find volunteer opportunities so that to create community and connection, so that default end.",0
"As a site admin who has received proof of payment from a trainer, I want to move people in his or her class from a pending state to the registry, so that default end.",0
"As a research information manager, I want to Segment view & download statistics by country and sector so that Impact of datasets outside academia can be demonstrated.",1
"Faculty shall be able to use ACMELIS to borrow books without having to visit the library in person. To do this , and respecting the constraints set out in Req(16), Req(17), Req(18) and Req(19), they  shall  enter the loan data in ACMELIS.",1
"As a customer, I would like to deposit and retrieve ALTO OCR data.",1
"As a site member, I can mark my profile as private in which case only my name will appear.",1
"As lab administrator(s) I should have increased access to the system to support regular users. See solution research"" for further information. "".",1
"As a default role, I want only the reservations of users that have been notified of the availability of a particular book shall be cancelled, so that default end.",0
"As an administrator, I want to see a list of active users registered with the site so that I can manage the users, so that default end.",0
"The rental transaction is created ,  printed  and  stored.",1
"As a user, I want to view and update an inventory of of the equipment and constables that are present in the centre, so that default end.",0
"As a site member, I want to mark my email address as private even if the rest of my profile is not, so that default end.",0
"As a visitor, I can download presentations, PDFs, etc. on Scrum that I can use.",1
"As a student, I want to schedule meetings with other students, so that we can work together.",0
"As the university IT service, I want to Integrate the archive with existing university systems such as LDAP so that the cost of administering the system can be kept low.",1
"As a student, I want to pay my bills with a credit card, so that default end.",0
"As someone whose membership (of any type) is about to expire, I am sent a reminder and a link through which I can renew. (Note: Think about overlapping memberships and prorating.).",1
"As a Visitor I'm able to see who (display name) added the content and when so that I know more about the contributor of the content.",1
"As an Archivist, I want to import Accessions data in CSV.",1
"As a User I am able to set a new password so that I can login.",1
"As a developer who presents images, I want the granularity to get information about the images associated with a VIA urn so that I can present the user with choices, so that default end.",0
"As a user, I want to enter metadata or describe an experiment protocol before a file to be even created, so that default end.",0
"As an Administrator I'm able to edit an existing news item so that I can update the contents.",1
"As a depositor, I want to Attach subject-specific discoverability metadata to records so that. Researchers in my discipline can find my data more easily.",1
"As a site administrator, I can read practicing and training applications and approve or reject them.",1
"As a researcher, I want to upload files prior to having them attached to a log book page using the web interface, so that default end.",0
"As a site visitor, I have an advanced search option that lets me fill in a form of search criteria (country, state, trainer name, date range, word in description, etc.).",1
"As a user, I want to draw tables using HTML tags as part of the content of a log book page, so that default end.",0
"As a student, I want to have accurate clear presentation of whitelist and enrollment data, so that default end.",0
"As a User, I want a robust and easy-to-use search engine to help me find the geospatial data, web services, and. . .",1
"As a programmer working with images from the DRS, I need to be able to look up technical metadata about images so that I can properly size and position them in my web application e.g. image height/width for the ARTstor SharedShelf project, image resolution). ",1
"As a user I can navigate forwards and backwards between log books and log book pages without having to use my browser's back button.",1
"As an agency, I want to link the complaint to the license if the violation is proven so that I can look up violations against licenses, so that default end.",0
"As an Archivist, I want to associate an Instance with a (resource | resource component).",1
"As a clerk I need to be able to create a new complaint record so that we can investigate and process the complaint.",1
"As a user, I want access to VT GIS data layers with no downloading required, so that default end.",0
"As user BR-PlantViewer I want component that represents pie chart so that it facilitates visualization of data.",1
"As a user, I want to know the terminal / gate.",1
"As a student I want to see a plan of what classes are planned for the upcoming 3-4 years so that I can ensure I can take the classes I need to graduate.",1
"As a user, I want to view the group's shared calendars via the Neurohub nodes web page as well as on my mobile device, so that default end.",0
"As a student, I want to personalized news feeds, so that default end.",0
"As a default role, I want the system to allow the removal of material, so that default end.",0
"As a user adding important news items to Neurohub, I would like the system to also forward the items to an external mailing list.",1
"As a DPU I want to create Preservation Metadata for a Component.",1
"As a collection manager I want statuses to include a status that flags a record as having a problem so we can track issues as the arise.",1
"As a site member, I, so that default end.",0
"As a default role, I want only the reservations of users that have been notified of the availability of a particular book shall be cancelled, so that default end.",0
"As a default role, I want the log entry summary, so that default end.",0
"As a depositor, I want to Deposit and maintain datasets through a simple web interface so that I don’t need to install and learn new software to deposit.",1
"As a developer I want to check on all released flash versions supported by browsers so I can adjust my flash presentation towards new flash versions in particular.",1
"As a student, I want to keep track of which emails are important to come back to, so that default end.",0
"As a user, I want to add a description to a person's profile page, so that default end.",0
"As a user, I want to associate together files involved in a experiment, so that default end.",0
"As an Archivist, I want to add administrative data about the archival description and finding aid-related data to a top-level Resource.",1
"The rental transaction is created ,  printed  and  stored.",1
"As a default role, I want the change to be computed and displayed, so that default end.",0
"As a user, I want to set a new password so that to login, so that default end.",0
"As an Application Administrator I want to be able to configure the help center URL and topic mappings.",1
"As a visitor, I want to view the added stories on the profile page so that I can learn more about the person, so that default end.",0
"As a depositor, I want to have a user interface that is familiar to me, so that I feel like all the university systems are joined up.",0
"As a research information manager, I want to Integrate the archive with CRIS so that I can analyse impact of research data publication and I can link funding to all of the outputs it produces.",1
"System interface should also include a parameter for passing the date/time allowing the user to specify which aeronautical data set to use.",1
"As a site visitor, I can view lists on the site of all Certified ScrumMasters, Practitioners, Trainers, and Certified Product Owners. (The CSM list has over 5,000 names so a letter-based pagination approach is needed.).",1
"As a site visitor, I can see a list of all upcoming “Other Courses” (non-certification courses). I can page through them if necessary.",1
"As a student I want to be able to share information about important dates, deadlines & events with my friends.",1
"As a data discovery service, I want to harvest metadata, so that our users can discover and download original content.",0
"As a user, I want to know the weather of both locations.",1
"As a user I want to be able to modify or branch an experimental protocol, whilst retaining the original.",1
"As a systems administrator, I want to control the location of the demo database and I want it to be backed up, so that default end.",0
"As a user, I want to search for and download human readable experimental protocols, so that default end.",0
"As a default role, I want if a book has not been reserved any user to borrow it, so that default end.",0
"As a visitor, I want to navigate the site through the site wide top menu so that I can always quickly open the page I am looking for, so that default end.",0
"As an editor, I want to access content items quickly from a content element, so that I do not have to look up these content types in the menu and therefore I can work more productive.",0
"As a user, I want to be alerted to upcoming potential turbulence before it occurs, so that default end.",0
"As a User, I want to download thematic data in bulk (eg: all transportation data).",1
"As a site visitor, I can see a list of all upcoming “Certification Courses. ” I can page through them if there are a lot.",1
"As a site member, I want to subscribe to an RSS feed of jobs available, so that default end.",0
"As an international student, I want UC berkeley systems to handle her address and not make her re - enter it every time, so that default end.",0
"As a default role, I want a user defines default log entry access settings, so that default end.",0
"Add additional properties for repositories.",1
"As a visitor, I want to navigate the site through site wide navigation menus so that I can always quickly open the page I am looking for, so that default end.",0
"As a catalog, I want to see or hear or watch or read the digital object I am cataloging, so that I do not have to move between multiple applications while I am creating metadata.",0
"As a site visitor, I can do a full-text search of article body, title, and author name.",1
"As an administrator, I want to edit existing media elements of a particular gallery so that I can update the content, so that default end.",0
" If past-due amounts are owed  they  can be paid  at this  time; or  the  clerk can select an  option which  updates the rental with the return date and  calculates past-due fees.",1